[chain v4b] starting at Mon May  4 13:21:27 CDT 2026 — mkdir-based seqan3 lock (Git Bash lacks flock)
[13:21:39] [chain v4] ===== chain v4 launch =====
[13:21:39] [chain v4] [E0] strand start
[13:21:39] [chain v4] [main] strands launched: E0=49590 E1S=49592 E2=49593
[14:27:26] [chain v4] [E0] still waiting for SEQAN3_LOCK (3840s)
[14:28:26] [chain v4] [E0] still waiting for SEQAN3_LOCK (3900s)
[14:29:28] [chain v4] [E0] still waiting for SEQAN3_LOCK (3960s)
[14:30:30] [chain v4] [E0] still waiting for SEQAN3_LOCK (4020s)
[14:31:31] [chain v4] [E0] still waiting for SEQAN3_LOCK (4080s)
[14:32:32] [chain v4] [E0] still waiting for SEQAN3_LOCK (4140s)
[14:33:32] [chain v4] [E0] still waiting for SEQAN3_LOCK (4200s)
[14:34:33] [chain v4] [E0] still waiting for SEQAN3_LOCK (4260s)
[14:35:33] [chain v4] [E0] still waiting for SEQAN3_LOCK (4320s)
[14:36:34] [chain v4] [E0] still waiting for SEQAN3_LOCK (4380s)
[14:37:35] [chain v4] [E0] still waiting for SEQAN3_LOCK (4440s)
[14:38:35] [chain v4] [E0] still waiting for SEQAN3_LOCK (4500s)
[14:39:36] [chain v4] [E0] still waiting for SEQAN3_LOCK (4560s)
[14:40:37] [chain v4] [E0] still waiting for SEQAN3_LOCK (4620s)
[14:41:37] [chain v4] [E0] still waiting for SEQAN3_LOCK (4680s)
[14:42:38] [chain v4] [E0] still waiting for SEQAN3_LOCK (4740s)
[14:43:39] [chain v4] [E0] still waiting for SEQAN3_LOCK (4800s)
[14:44:39] [chain v4] [E0] still waiting for SEQAN3_LOCK (4860s)
[14:45:41] [chain v4] [E0] still waiting for SEQAN3_LOCK (4920s)
[14:46:42] [chain v4] [E0] still waiting for SEQAN3_LOCK (4980s)
[14:47:43] [chain v4] [E0] still waiting for SEQAN3_LOCK (5040s)
[14:48:44] [chain v4] [E0] still waiting for SEQAN3_LOCK (5100s)
[14:49:45] [chain v4] [E0] still waiting for SEQAN3_LOCK (5160s)
[14:50:45] [chain v4] [E0] still waiting for SEQAN3_LOCK (5220s)
[14:51:46] [chain v4] [E0] still waiting for SEQAN3_LOCK (5280s)
[14:52:47] [chain v4] [E0] still waiting for SEQAN3_LOCK (5340s)
[14:53:48] [chain v4] [E0] still waiting for SEQAN3_LOCK (5400s)
[14:54:48] [chain v4] [E0] still waiting for SEQAN3_LOCK (5460s)
[14:55:49] [chain v4] [E0] still waiting for SEQAN3_LOCK (5520s)
[14:56:50] [chain v4] [E0] still waiting for SEQAN3_LOCK (5580s)
[14:57:51] [chain v4] [E0] still waiting for SEQAN3_LOCK (5640s)
[14:58:51] [chain v4] [E0] still waiting for SEQAN3_LOCK (5700s)
[14:59:52] [chain v4] [E0] still waiting for SEQAN3_LOCK (5760s)
[15:00:53] [chain v4] [E0] still waiting for SEQAN3_LOCK (5820s)
[15:01:53] [chain v4] [E0] still waiting for SEQAN3_LOCK (5880s)
[15:02:54] [chain v4] [E0] still waiting for SEQAN3_LOCK (5940s)
[15:03:55] [chain v4] [E0] still waiting for SEQAN3_LOCK (6000s)
[15:04:55] [chain v4] [E0] still waiting for SEQAN3_LOCK (6060s)
[15:05:56] [chain v4] [E0] still waiting for SEQAN3_LOCK (6120s)
